BRUTIS-CSV-RIB,Bestand nummer:,Inspectie bestandnaam:,Aantal inspecties:,Aantal waarnemingen:,Aantal beelden:,Inspectie bedrijf:
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1023,0,0,0,10,20231102,0,3P,Photo and MH Repairing                                      
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,10,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211201_150537766.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
RES,0,10,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211201_150537766.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1029,0,0,0,11,20231102,0,3P,Photo and MH Repairing                                      
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,11,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211125_090304020.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
RES,0,11,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211125_090304020.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1033,0,0,0,12,20231102,0,3P,Photo and MH Repairing                                      
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,12,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211125_092554312.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
RES,0,12,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211125_092554312.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1034,0,0,0,13,20231102,0,3P,Photo and MH Repairing                                      
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,13,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211122_161806913.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
RES,0,13,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211122_161806913.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1035,0,0,0,14,20231102,0,3P,Photo and MH Repairing                                      
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,14,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211125_090042962.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
RES,0,14,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211125_090042962.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1040,0,0,0,15,20231102,0,3P,good                                                        
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,15,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221205_083538407.jpg,,,0              ,0unknown       ,,,good                                                        
RES,0,15,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221205_083538407.jpg,,,0              ,0unknown       ,,,good                                                        
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1041,0,0,0,16,20231102,0,3P,Photo and MH Repairing                                      
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,16,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211130_165706659.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
RES,0,16,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211130_165706659.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1044,0,0,0,17,20231102,0,3P,good                                                        
